,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades
81,0,0.0,8.851851851851851,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.148148148148148,8.709876543209877,8.41358024691358
82,0,0.0,8.74390243902439,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.060975609756097,8.603658536585366,8.310975609756097
83,0,0.0,8.63855421686747,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.975903614457831,8.5,8.210843373493976
84,0,0.0,8.535714285714286,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.892857142857143,8.398809523809524,8.113095238095237
85,0,0.0,8.435294117647059,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.811764705882353,8.3,8.01764705882353
86,0,0.0,8.337209302325581,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.732558139534884,8.203488372093023,7.924418604651163
87,0,0.0,8.241379310344827,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.655172413793103,8.10919540229885,7.833333333333333
88,0,0.0,8.147727272727273,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.579545454545454,8.017045454545455,7.744318181818182
89,0,0.0,8.0561797752809,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.50561797752809,7.926966292134831,7.657303370786517
90,0,0.0,7.966666666666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.433333333333334,7.838888888888889,7.572222222222222
91,0,0.0,7.8791208791208796,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.362637362637362,7.752747252747253,7.489010989010989
92,0,0.0,7.793478260869565,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.293478260869565,7.668478260869565,7.407608695652174
93,0,0.0,7.709677419354839,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.225806451612903,7.586021505376344,7.327956989247312
94,0,0.0,7.627659574468085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.159574468085107,7.50531914893617,7.25
95,0,0.0,7.5473684210526315,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.094736842105263,7.426315789473684,7.173684210526316
96,0,0.0,7.46875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.03125,7.348958333333333,7.098958333333333
97,0,0.0,7.391752577319588,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.969072164948454,7.27319587628866,7.025773195876289
98,0,0.0,7.316326530612245,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.908163265306122,7.198979591836735,6.954081632653061
99,0,0.0,7.242424242424242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.848484848484849,7.126262626262626,6.883838383838384
100,0,0.0,7.17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,7.055,6.815
